SRR26037552pow12_S45 S45
SRR26037551pow13_S46 S46
SRR26037550pow14_S47 S47
SRR26037549pow15_S48 S48
SRR26037548pow16_S49 S49
ERR1739853powcr01_S55 S55
ERR1254543povwa2_S53 S53
ERR1254542povwa1_S52 S53
SRR26037546poc4_S37 S37
SRR26037545poc5_S38 S38
SRR26037544poc6_S39 S39
SRR26037543poc7_S40 S40
SRR26037542poc8_S41 S41
SRR26037541poc9_S42 S42
ERR1254540povcu2_S51 S51
ERR1739852pocgh01_S54 S54
1503082061_r1a_S30	S30
1507081819_r2a_S31	S31
1701100582_r3a_S32	S32
1802062292_r4a_S33	S33
SOTU_TUN_019_S29	S29
SOMO_ISA_041_S28	S28
2928A_S24	S24
2680A_S22	S22
2589DA_S21	S21
2562DA_S20	S20
2090A_S19	S19
Tan_LDB_123_S14	S14
111038_S13	S13
353176_S8	S8
242012_S6	S6
3116A_S25	S25
2714A_S23	S23
Tan_LDB_1610_D0_S17	S17
Tan_LDB_475_S16	S16
Tan_LDB_426_S15	S15
DSG272_S12	S12
364184_S9	S9
3073204_S7	S7
1031006_S4	S4
1013003_S3	S3
1012505_S2	S2
1011201_S1	S1
