Group ID	Source ID	Pf Chrom	Pf start	Pf stop	Poc ortholog	Poc chrom	Poc start	Poc stop	Pow ortholog	Pow chrom	Pow start	Pow stop													
OG6_532896	PF3D7_0102800	Pf3D7_01_v3	125835	128373	PocGH01_02019100	PocGH01_02_v2	354300	356231	POWCR01_020013700	LT594506	359969	361723													
OG6_100778	PF3D7_0102900	Pf3D7_01_v3	128569	131554	PocGH01_02019000	PocGH01_02_v2	351252	353198	POWCR01_020013600	LT594506	356701	358647													
OG6_102826	PF3D7_0103000	Pf3D7_01_v3	131609	134133	PocGH01_02018900	PocGH01_02_v2	348417	350156	POWCR01_020013500	LT594506	353638	355481													
OG6_103074	PF3D7_0103100	Pf3D7_01_v3	134155	140371	PocGH01_02018800	PocGH01_02_v2	342733	347100	POWCR01_020013400	LT594506	347704	352167													
OG6_533310	PF3D7_0103200	Pf3D7_01_v3	140494	143049	PocGH01_02018700	PocGH01_02_v2	339163	340805	POWCR01_020013300	LT594506	344151	345667													
OG6_101273	PF3D7_0103400	Pf3D7_01_v3	147031	152795	PocGH01_02018500	PocGH01_02_v2	328545	333793	POWCR01_020013100	LT594506	333136	338356													
OG6_103845	PF3D7_0103800	Pf3D7_01_v3	168768	171442	PocGH01_02018100	PocGH01_02_v2	310136	312521	POWCR01_020012700	LT594506	313850	316393													
OG6_532694	PF3D7_0104000	Pf3D7_01_v3	175609	176376	PocGH01_02017900	PocGH01_02_v2	303864	304737	POWCR01_020012500	LT594506	307275	308177													
OG6_532817	PF3D7_0104100	Pf3D7_01_v3	177187	181825	PocGH01_02017800	PocGH01_02_v2	298302	300857	POWCR01_020012400	LT594506	301534	304102													
OG6_532641	PF3D7_0104200	Pf3D7_01_v3	182205	184820	PocGH01_02017700	PocGH01_02_v2	295551	296963	POWCR01_020012300	LT594506	298589	300049													
OG6_105777	PF3D7_0104400	Pf3D7_01_v3	201354	204250	PocGH01_02017500	PocGH01_02_v2	278200	279645	POWCR01_020012100	LT594506	281077	282522													
OG6_110534	PF3D7_0104500	Pf3D7_01_v3	204368	205612	PocGH01_02017400	PocGH01_02_v2	277012	277812	POWCR01_020012000	LT594506	279878	280678													
OG6_533318	PF3D7_0104700	Pf3D7_01_v3	210870	213005	PocGH01_02017200	PocGH01_02_v2	269986	271944	POWCR01_020011800	LT594506	272760	274721													
OG6_129777	PF3D7_0104800	Pf3D7_01_v3	215143	217616	PocGH01_02017100	PocGH01_02_v2	265602	267290	POWCR01_020011700	LT594506	268292	269998													
OG6_160718	PF3D7_0105100	Pf3D7_01_v3	220727	221928	PocGH01_02016900	PocGH01_02_v2	261366	261794	POWCR01_020011600	LT594506	264003	264431													
OG6_139431	PF3D7_0105200	Pf3D7_01_v3	222086	224501	PocGH01_02016800	PocGH01_02_v2	259140	260828	POWCR01_020011500	LT594506	261756	263447													
OG6_101374	PF3D7_0105300	Pf3D7_01_v3	224638	226017	PocGH01_02016700	PocGH01_02_v2	257107	257737	POWCR01_020011400	LT594506	259709	260341													
OG6_533750	PF3D7_0105400	Pf3D7_01_v3	226036	227419	PocGH01_02016600	PocGH01_02_v2	254931	255615	POWCR01_020011300	LT594506	257531	258217													
OG6_139478	PF3D7_0105500	Pf3D7_01_v3	228485	229519	PocGH01_02016500	PocGH01_02_v2	253006	254103	POWCR01_020011200	LT594506	255618	256715													
OG6_105981	PF3D7_0105600	Pf3D7_01_v3	229943	234464	PocGH01_02016400	PocGH01_02_v2	247732	251861	POWCR01_020011100	LT594506	250386	254569													
OG6_106571	PF3D7_0105900	Pf3D7_01_v3	253089	255771	PocGH01_02016100	PocGH01_02_v2	226371	227915	POWCR01_020010800	LT594506	227934	229478													
OG6_101992	PF3D7_0106100	Pf3D7_01_v3	260105	262008	PocGH01_02015900	PocGH01_02_v2	220460	221611	POWCR01_020010600	LT594506	222068	223219													
OG6_533672	PF3D7_0106200	Pf3D7_01_v3	262750	264323	PocGH01_02015800	PocGH01_02_v2	217805	218649	POWCR01_020010500	LT594506	219341	220186													
OG6_103365	PF3D7_0106400	Pf3D7_01_v3	272296	273701	PocGH01_02015600	PocGH01_02_v2	208687	209868	POWCR01_020010300	LT594506	209930	211105													
OG6_102112	PF3D7_0106700	Pf3D7_01_v3	280595	285875	PocGH01_02015300	PocGH01_02_v2	196723	200478	POWCR01_020010000	LT594506	197414	201514													
OG6_103820	PF3D7_0106900	Pf3D7_01_v3	289849	292802	PocGH01_02015100	PocGH01_02_v2	189960	191912	POWCR01_020009900	LT594506	190306	192309													
OG6_532903	PF3D7_0107100	Pf3D7_01_v3	295177	296959	PocGH01_02014900	PocGH01_02_v2	185515	186954	POWCR01_020009700	LT594506	185735	187174													
OG6_132868	PF3D7_0107200	Pf3D7_01_v3	297189	299513	PocGH01_02014800	PocGH01_02_v2	182396	184704	POWCR01_020009600	LT594506	182750	185004													
OG6_139433	PF3D7_0107400	Pf3D7_01_v3	302509	304236	PocGH01_02014700	PocGH01_02_v2	179788	180300	POWCR01_020009500	LT594506	180301	180813													
OG6_533088	PF3D7_0107700	Pf3D7_01_v3	320168	321508	PocGH01_02014400	PocGH01_02_v2	152795	154129	POWCR01_020009100	LT594506	153277	154611													
OG6_101854	PF3D7_0107800	Pf3D7_01_v3	321757	326180	PocGH01_02014300	PocGH01_02_v2	148730	152056	POWCR01_020009000	LT594506	149050	152463													
OG6_532383	PF3D7_0107900	Pf3D7_01_v3	326323	327365	PocGH01_02014200	PocGH01_02_v2	147850	148530	POWCR01_020008900	LT594506	148161	148844													
OG6_101970	PF3D7_0108000	Pf3D7_01_v3	328171	329995	PocGH01_02014100	PocGH01_02_v2	144903	146160	POWCR01_020008800	LT594506	145037	146345													
OG6_139434	PF3D7_0108100	Pf3D7_01_v3	330597	332834	PocGH01_02014000	PocGH01_02_v2	141854	143869	POWCR01_020008700	LT594506	141992	144004													
OG6_107804	PF3D7_0108400	Pf3D7_01_v3	344373	347320	PocGH01_02013800	PocGH01_02_v2	127381	129940	POWCR01_020008500	LT594506	127197	129632													
OG6_139454	PF3D7_0108600	Pf3D7_01_v3	348892	351747	PocGH01_02013600	PocGH01_02_v2	122031	124084	POWCR01_020008300	LT594506	121418	123548													
OG6_215312	PF3D7_0109000	Pf3D7_01_v3	362217	365209	PocGH01_02013300	PocGH01_02_v2	109353	110024	POWCR01_020008100	LT594506	108335	109006													
OG6_102904	PF3D7_0109200	Pf3D7_01_v3	369251	370907	PocGH01_02013100	PocGH01_02_v2	103273	103989	POWCR01_020007900	LT594506	102221	102937													
OG6_100813	PF3D7_0109300	Pf3D7_01_v3	371146	373063	PocGH01_02013000	PocGH01_02_v2	100986	102150	POWCR01_020007800	LT594506	99898	101592													
