Group ID	Poc ortholog	Poc chrom	Poc start	Poc stop	Pow ortholog	Pow chrom	Pow start	Pow stop
OG6r20_199138	PocGH01_00010100	PocGH01_00_v1_archived_contig_1	5713	6889	POWCR01_050005500	LT594509	48555	49731
OG6r20_105662	PocGH01_00010400	PocGH01_00_v1_archived_contig_1	23639	24668	POWCR01_050005200	LT594509	30392	31521
OG6r20_152044	PocGH01_00010500	PocGH01_00_v1_archived_contig_1	34935	36272	POWCR01_050005100	LT594509	12081	13449
OG6r20_199139	PocGH01_00010700	PocGH01_00_v1_archived_contig_1	49927	51193	POWCR01_000066300	FLRJ01000196	106637	108078
OG6r20_193768	PocGH01_00010800	PocGH01_00_v1_archived_contig_1	54344	56004	POWCR01_000066200	FLRJ01000196	102005	103685
OG6r20_151460	PocGH01_00011000	PocGH01_00_v1_archived_contig_1	63521	64886	POWCR01_000066000	FLRJ01000196	93169	94502
OG6r20_199140	PocGH01_00011100	PocGH01_00_v1_archived_contig_1	68849	70127	POWCR01_000065900	FLRJ01000196	85682	86959
OG6r20_117334	PocGH01_00012000	PocGH01_00_v1_archived_contig_2	47120	48277	POWCR01_000121700	FLRJ01000393	5769	6926
OG6r20_101409	PocGH01_00012500	PocGH01_00_v1_archived_contig_3	6367	8190	POWCR01_000166300	FLRJ01000570	36798	38626
OG6r20_109957	PocGH01_00012600	PocGH01_00_v1_archived_contig_3	12415	15701	POWCR01_000166200	FLRJ01000570	29305	32588
OG6r20_199141	PocGH01_00012800	PocGH01_00_v1_archived_contig_3	27199	28507	POWCR01_000166000	FLRJ01000570	16550	17858
OG6r20_104972	PocGH01_00012900	PocGH01_00_v1_archived_contig_3	35442	36594	POWCR01_000165800	FLRJ01000570	8459	9611
OG6r20_199142	PocGH01_00013000	PocGH01_00_v1_archived_contig_3	40184	41474	POWCR01_000165700	FLRJ01000570	3577	4867
OG6r20_148973	PocGH01_00013600	PocGH01_00_v1_archived_contig_4	26438	27706	POWCR01_000089000	FLRJ01000267	9136	10386
OG6r20_199143	PocGH01_00013700	PocGH01_00_v1_archived_contig_4	31661	32706	POWCR01_000097200	FLRJ01000291	10647	11691
OG6r20_199144	PocGH01_00013800	PocGH01_00_v1_archived_contig_4	35426	36694	POWCR01_000097300	FLRJ01000291	14389	15657
OG6r20_111702	PocGH01_00014300	PocGH01_00_v1_archived_contig_4	67990	69320	POWCR01_000146400	FLRJ01000544	67317	68591
OG6r20_199146	PocGH01_00014800	PocGH01_00_v1_archived_contig_5	19498	21031	POWCR01_000012300	FLRJ01000029	92368	93895
OG6_100334	PocGH01_00015700	PocGH01_00_v1_archived_contig_6	2715	4464	POWCR01_000088000	FLRJ01000264	30746	32518
OG6_130402	PocGH01_00015900	PocGH01_00_v1_archived_contig_6	21023	22589	POWCR01_000087800	FLRJ01000264	12566	14132
OG6_124292	PocGH01_00016000	PocGH01_00_v1_archived_contig_6	25557	26999	POWCR01_000087700	FLRJ01000264	8031	9473
OG6_122568	PocGH01_00016100	PocGH01_00_v1_archived_contig_6	27814	28568	POWCR01_000087600	FLRJ01000264	6320	7072
OG6_101579	PocGH01_00016200	PocGH01_00_v1_archived_contig_6	30238	33195	POWCR01_000087500	FLRJ01000264	1490	4453
OG6_103192	PocGH01_00016300	PocGH01_00_v1_archived_contig_6	35727	37668	POWCR01_110017400	LT594515	553454	555446
OG6_533404	PocGH01_00016500	PocGH01_00_v1_archived_contig_7	2754	4472	POWCR01_050023300	LT594509	836439	837497
OG6_130182	PocGH01_00016600	PocGH01_00_v1_archived_contig_7	6432	13336	POWCR01_000158400	FLRJ01000522	8570	15361
OG6_101164	PocGH01_00016700	PocGH01_00_v1_archived_contig_7	14527	15888	POWCR01_000158300	FLRJ01000522	5227	7118
OG6_139487	PocGH01_00016900	PocGH01_00_v1_archived_contig_7	19148	20017	POWCR01_000158100	FLRJ01000522	1011	1892
